Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5, C6, C8",0805,4,100nF,C49678
C2,1210,1,10uF,C576517
"C3, C4",0805,2,22uF,C6119895
C7,CP_EIA-6032-28_Kemet-C,1,330uF,C11377
D1,D_SOD-123F,1,D,C3008061
D2,D_SOD-323,1,D_Zener,C110757
F1,0805,1,Fuse,C25838740
J1,TerminalBlock_1x03_P5.08mm_Horizontal_WJ500V-5.08-03P-14-00A,1,Conn_01x03,C72334
"J2, J3",PinHeader_1x03_1PMissing_P2.54mm_Vertical,2,1x02_Jumper,C2937625
"J4, J5",PinSocket_1x09_P2.54mm_Vertical,2,Conn_01x08,C27985234
L1,L_SFE4018A-4R7M-F-HF_4x4x1.8mm,1,4.7uH,C5159668
R1,0805,1,10k,C2930231
R2,0805,1,330R,C2918550
U1,TSOT-23-6,1,AP63205WU,C2071056
U2,SOT-23-5,1,74LVC1G07,C48391414
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,CMT8021N1L,C32713171
