Designator,Mid X,Mid Y,Rotation,Layer
C1,86.51925,-63.85,180.0,bottom
C2,81.8625,-61.6,90.0,bottom
C3,90.95575,-63.95,0.0,bottom
C4,95.1125,-63.2,90.0,bottom
C5,105.45,-64.1,180.0,bottom
C6,111.95,-64.1,180.0,bottom
C7,115.5,-61.5,270.0,bottom
C8,101.45,-58.85,0.0,bottom
D1,72.55,-55.1,90.0,bottom
D2,97.5,-63.35,270.0,bottom
F1,72.5,-59.85,270.0,bottom
J1,76.25,-61.5,270.0,top
J2,84.0,-68.46,0.0,top
J3,83.95,-54.64,180.0,top
J4,102.7,-53.88,270.0,top
J5,102.7,-69.12,90.0,top
L1,91.3625,-60.2,270.0,bottom
R1,98.39375,-59.38125,90.0,bottom
R2,95.89375,-59.38125,90.0,bottom
U1,86.1125,-60.6,0.0,bottom
U2,101.7,-61.85,180.0,bottom
U3,108.7,-60.0,90.0,bottom
